	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\PCTL 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\PCTL 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\PCTL 1.c3d
	FP3	FP3	FP3
	FORCE	FORCE	FORCE
	PROCESSED	PROCESSED	PROCESSED
ITEM	X	Y	Z
793	0.2	-10.3	758.4
794	0.4	-10.3	758.4
795	0.5	-10.3	758.4
796	0.6	-10.4	758.4
797	0.7	-10.4	758.3
798	0.8	-10.4	758.3
799	1.0	-10.5	758.3
800	1.1	-10.5	758.2
801	1.2	-10.6	758.2
802	1.3	-10.7	758.1
803	1.4	-10.7	758.0
804	1.5	-10.8	757.9
805	1.6	-10.9	757.8
806	1.7	-10.9	757.7
807	1.8	-11.0	757.6
808	1.8	-11.1	757.5
809	1.9	-11.2	757.4
810	2.0	-11.2	757.2
811	2.0	-11.3	757.1
812	2.1	-11.4	756.9
813	2.2	-11.5	756.7
814	2.2	-11.6	756.6
815	2.3	-11.7	756.4
816	2.3	-11.8	756.2
817	2.4	-11.9	756.0
818	2.4	-12.0	755.8
819	2.4	-12.1	755.6
820	2.4	-12.2	755.3
821	2.5	-12.2	755.1
822	2.5	-12.3	754.9
823	2.5	-12.4	754.6
824	2.5	-12.5	754.4
825	2.5	-12.6	754.1
826	2.5	-12.7	753.8
827	2.5	-12.8	753.5
828	2.5	-12.9	753.2
829	2.5	-13.0	752.9
830	2.4	-13.0	752.6
831	2.4	-13.1	752.3
832	2.4	-13.2	752.0
833	2.4	-13.3	751.7
834	2.3	-13.3	751.3
835	2.3	-13.4	751.0
836	2.3	-13.4	750.6
837	2.2	-13.5	750.3
838	2.2	-13.5	749.9
839	2.1	-13.6	749.6
840	2.1	-13.6	749.2
841	2.0	-13.7	748.8
842	2.0	-13.7	748.5
843	1.9	-13.7	748.1
844	1.9	-13.8	747.7
845	1.8	-13.8	747.3
846	1.7	-13.8	746.9
