	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\PCTR 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\PCTR 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\PCTR 1.c3d
	FP3	FP3	FP3
	FORCE	FORCE	FORCE
	PROCESSED	PROCESSED	PROCESSED
ITEM	X	Y	Z
544	-4.2	-2.0	713.4
545	-4.0	-2.0	713.8
546	-3.9	-2.0	714.1
547	-3.8	-2.0	714.5
548	-3.6	-2.0	714.9
549	-3.5	-2.1	715.2
550	-3.4	-2.1	715.7
551	-3.2	-2.1	716.1
552	-3.1	-2.2	716.5
553	-2.9	-2.2	717.0
554	-2.8	-2.3	717.4
555	-2.6	-2.3	717.9
556	-2.5	-2.3	718.4
557	-2.3	-2.4	718.9
558	-2.2	-2.4	719.5
559	-2.0	-2.5	720.0
560	-1.9	-2.6	720.6
561	-1.7	-2.6	721.2
562	-1.6	-2.7	721.7
563	-1.4	-2.7	722.4
564	-1.2	-2.8	723.0
565	-1.1	-2.9	723.6
566	-0.9	-2.9	724.3
567	-0.7	-3.0	724.9
568	-0.5	-3.1	725.6
569	-0.4	-3.1	726.3
570	-0.2	-3.2	727.0
571	-0.0	-3.3	727.8
572	0.2	-3.4	728.5
573	0.3	-3.4	729.3
574	0.5	-3.5	730.0
575	0.7	-3.6	730.8
576	0.9	-3.7	731.6
577	1.0	-3.8	732.4
578	1.2	-3.9	733.2
579	1.4	-3.9	734.0
580	1.6	-4.0	734.8
581	1.7	-4.1	735.6
582	1.9	-4.2	736.5
583	2.1	-4.3	737.3
584	2.2	-4.4	738.2
585	2.4	-4.5	739.0
586	2.6	-4.6	739.9
587	2.7	-4.7	740.7
588	2.9	-4.8	741.6
589	3.0	-4.9	742.4
590	3.1	-5.0	743.3
591	3.3	-5.1	744.2
592	3.4	-5.2	745.0
593	3.5	-5.4	745.9
594	3.6	-5.5	746.7
595	3.7	-5.6	747.5
596	3.8	-5.7	748.4
597	3.9	-5.8	749.2
598	4.0	-6.0	750.0
599	4.0	-6.1	750.8
600	4.1	-6.2	751.6
601	4.1	-6.4	752.4
602	4.2	-6.5	753.2
603	4.2	-6.6	753.9
604	4.2	-6.8	754.7
605	4.2	-6.9	755.4
606	4.2	-7.0	756.1
607	4.2	-7.2	756.8
608	4.1	-7.3	757.5
609	4.1	-7.5	758.1
610	4.0	-7.6	758.8
611	4.0	-7.8	759.4
612	3.9	-7.9	760.0
613	3.8	-8.1	760.6
614	3.7	-8.2	761.1
615	3.6	-8.4	761.6
616	3.5	-8.5	762.1
617	3.3	-8.7	762.6
618	3.2	-8.8	763.1
619	3.0	-9.0	763.5
620	2.9	-9.1	763.9
621	2.7	-9.3	764.3
622	2.5	-9.4	764.6
623	2.4	-9.6	764.9
624	2.2	-9.7	765.2
625	2.0	-9.9	765.5
626	1.8	-10.0	765.7
627	1.6	-10.1	765.9
628	1.3	-10.2	766.1
629	1.1	-10.4	766.3
630	0.9	-10.5	766.4
631	0.7	-10.6	766.5
632	0.4	-10.7	766.6
633	0.2	-10.8	766.7
634	-0.0	-10.9	766.7
635	-0.3	-11.0	766.7
636	-0.5	-11.1	766.7
637	-0.7	-11.2	766.6
638	-1.0	-11.2	766.6
639	-1.2	-11.3	766.5
640	-1.4	-11.4	766.3
641	-1.7	-11.4	766.2
642	-1.9	-11.5	766.1
643	-2.1	-11.5	765.9
644	-2.4	-11.5	765.7
645	-2.6	-11.6	765.5
646	-2.8	-11.6	765.2
647	-3.0	-11.6	765.0
648	-3.2	-11.6	764.7
649	-3.4	-11.6	764.4
650	-3.6	-11.6	764.1
651	-3.8	-11.5	763.8
652	-4.0	-11.5	763.4
653	-4.2	-11.5	763.1
654	-4.4	-11.4	762.7
655	-4.6	-11.4	762.3
656	-4.7	-11.3	761.9
657	-4.9	-11.3	761.5
658	-5.0	-11.2	761.1
659	-5.2	-11.1	760.6
660	-5.3	-11.0	760.2
661	-5.4	-10.9	759.7
662	-5.5	-10.8	759.3
663	-5.7	-10.7	758.8
664	-5.8	-10.6	758.3
665	-5.9	-10.5	757.8
666	-5.9	-10.4	757.3
667	-6.0	-10.3	756.8
668	-6.1	-10.1	756.3
669	-6.2	-10.0	755.7
670	-6.2	-9.9	755.2
671	-6.3	-9.7	754.7
672	-6.3	-9.5	754.1
673	-6.4	-9.4	753.6
674	-6.4	-9.2	753.0
675	-6.4	-9.1	752.5
676	-6.4	-8.9	751.9
677	-6.4	-8.7	751.4
678	-6.4	-8.5	750.8
679	-6.4	-8.4	750.2
680	-6.4	-8.2	749.7
681	-6.4	-8.0	749.1
682	-6.4	-7.8	748.5
683	-6.3	-7.6	748.0
684	-6.3	-7.4	747.4
685	-6.3	-7.2	746.8
686	-6.2	-7.0	746.3
687	-6.2	-6.8	745.7
688	-6.1	-6.6	745.1
689	-6.0	-6.4	744.6
690	-6.0	-6.2	744.0
691	-5.9	-6.0	743.5
692	-5.8	-5.8	742.9
693	-5.8	-5.6	742.4
694	-5.7	-5.4	741.8
695	-5.6	-5.2	741.3
696	-5.5	-5.0	740.8
697	-5.4	-4.8	740.3
698	-5.4	-4.6	739.7
699	-5.3	-4.4	739.2
700	-5.2	-4.2	738.7
701	-5.1	-4.0	738.3
702	-5.0	-3.8	737.8
703	-4.9	-3.6	737.3
704	-4.8	-3.4	736.9
705	-4.7	-3.2	736.4
706	-4.6	-3.1	736.0
707	-4.6	-2.9	735.6
708	-4.5	-2.7	735.1
709	-4.4	-2.5	734.7
710	-4.3	-2.3	734.4
711	-4.2	-2.2	734.0
712	-4.1	-2.0	733.6
713	-4.1	-1.8	733.3
714	-4.0	-1.7	733.0
715	-3.9	-1.5	732.6
716	-3.8	-1.4	732.3
717	-3.8	-1.2	732.0
718	-3.7	-1.1	731.8
719	-3.7	-1.0	731.5
720	-3.6	-0.8	731.3
721	-3.6	-0.7	731.0
722	-3.5	-0.6	730.8
723	-3.5	-0.4	730.6
724	-3.5	-0.3	730.4
725	-3.4	-0.2	730.3
726	-3.4	-0.1	730.1
727	-3.4	0.0	730.0
728	-3.4	0.1	729.9
729	-3.4	0.2	729.8
730	-3.4	0.3	729.7
731	-3.4	0.4	729.6
732	-3.5	0.5	729.5
733	-3.5	0.6	729.5
734	-3.5	0.6	729.5
735	-3.6	0.7	729.5
736	-3.6	0.8	729.5
737	-3.7	0.9	729.5
738	-3.7	0.9	729.5
739	-3.8	1.0	729.6
740	-3.9	1.1	729.7
741	-4.0	1.1	729.7
742	-4.1	1.2	729.8
743	-4.2	1.2	730.0
744	-4.3	1.3	730.1
745	-4.4	1.3	730.2
746	-4.5	1.4	730.4
747	-4.7	1.4	730.6
748	-4.8	1.5	730.8
749	-4.9	1.5	731.0
750	-5.1	1.6	731.2
751	-5.3	1.6	731.4
752	-5.4	1.7	731.7
753	-5.6	1.7	731.9
754	-5.8	1.8	732.2
755	-6.0	1.8	732.5
756	-6.2	1.8	732.8
757	-6.4	1.9	733.1
758	-6.6	1.9	733.4
759	-6.8	2.0	733.7
760	-7.0	2.0	734.1
761	-7.2	2.1	734.5
762	-7.4	2.1	734.8
763	-7.6	2.2	735.2
764	-7.9	2.2	735.6
765	-8.1	2.3	736.0
766	-8.3	2.3	736.5
767	-8.6	2.4	736.9
768	-8.8	2.4	737.4
769	-9.1	2.5	737.8
770	-9.3	2.5	738.3
771	-9.6	2.6	738.8
772	-9.8	2.7	739.3
773	-10.1	2.7	739.8
774	-10.4	2.8	740.3
775	-10.6	2.9	740.8
776	-10.9	2.9	741.4
777	-11.2	3.0	741.9
778	-11.4	3.1	742.4
779	-11.7	3.1	743.0
780	-12.0	3.2	743.6
781	-12.3	3.3	744.2
782	-12.5	3.3	744.7
783	-12.8	3.4	745.3
784	-13.1	3.5	745.9
785	-13.4	3.6	746.5
786	-13.7	3.6	747.1
787	-14.0	3.7	747.7
788	-14.3	3.8	748.3
789	-14.6	3.9	749.0
790	-14.8	3.9	749.6
791	-15.1	4.0	750.2
792	-15.4	4.1	750.8
793	-15.7	4.2	751.4
794	-16.0	4.2	752.1
795	-16.3	4.3	752.7
796	-16.6	4.4	753.3
797	-16.9	4.5	753.9
798	-17.2	4.5	754.6
799	-17.5	4.6	755.2
800	-17.8	4.7	755.8
801	-18.1	4.7	756.4
802	-18.4	4.8	757.0
803	-18.7	4.9	757.6
804	-19.0	4.9	758.1
805	-19.3	5.0	758.7
806	-19.6	5.0	759.3
807	-19.9	5.1	759.8
808	-20.1	5.1	760.4
809	-20.4	5.2	760.9
810	-20.7	5.2	761.4
811	-21.0	5.2	761.9
812	-21.2	5.3	762.4
813	-21.5	5.3	762.9
814	-21.8	5.3	763.3
815	-22.0	5.4	763.8
816	-22.3	5.4	764.2
817	-22.5	5.4	764.6
818	-22.7	5.4	765.0
819	-23.0	5.4	765.3
820	-23.2	5.4	765.7
821	-23.4	5.4	766.0
822	-23.6	5.4	766.3
823	-23.8	5.4	766.5
824	-24.0	5.3	766.8
