	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Endurance 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Endurance 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Endurance 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Endurance 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Endurance 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Endurance 1.c3d
	L_Knee_Moment	L_Knee_Moment	L_Knee_Moment	R_Knee_Moment	R_Knee_Moment	R_Knee_Moment
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
252	110.69	5.45	29.82	77.85	1.19	41.72
253	111.29	6.09	30.24	78.72	1.81	42.88
254	111.93	6.71	30.64	79.60	2.41	44.00
255	112.47	7.31	30.97	80.40	3.00	45.06
256	113.04	7.89	31.28	81.14	3.57	46.03
257	113.45	8.45	31.48	81.84	4.11	46.98
258	113.89	8.97	31.69	82.49	4.63	47.87
259	114.28	9.47	31.83	83.06	5.12	48.68
260	114.54	9.93	31.91	83.55	5.56	49.45
261	114.80	10.35	31.97	84.03	5.97	50.16
262	115.00	10.72	31.99	84.41	6.33	50.82
263	115.06	11.06	31.94	84.71	6.65	51.43
264	115.12	11.35	31.88	84.95	6.91	51.98
265	115.04	11.59	31.76	85.13	7.13	52.49
266	114.95	11.78	31.63	85.21	7.29	52.95
267	114.70	11.93	31.43	85.27	7.40	53.38
268	114.44	12.02	31.23	85.22	7.45	53.73
269	114.04	12.05	30.97	85.12	7.45	54.06
270	113.62	12.03	30.70	84.94	7.40	54.35
271	113.10	11.96	30.39	84.71	7.29	54.59
272	112.46	11.84	30.03	84.41	7.14	54.79
273	111.82	11.67	29.67	84.04	6.93	54.96
274	111.02	11.45	29.23	83.61	6.67	55.08
275	110.25	11.18	28.81	83.13	6.37	55.17
276	109.37	10.87	28.32	82.57	6.02	55.22
277	108.45	10.52	27.81	82.01	5.64	55.24
278	107.43	10.14	27.24	81.34	5.22	55.23
279	106.44	9.72	26.67	80.63	4.77	55.15
280	105.35	9.28	26.04	79.91	4.28	55.04
281	104.27	8.81	25.40	79.10	3.77	54.85
282	103.11	8.32	24.70	78.30	3.24	54.61
283	101.93	7.82	24.00	77.42	2.68	54.28
284	100.77	7.30	23.27	76.54	2.11	53.89
285	99.54	6.78	22.51	75.62	1.52	53.42
286	98.35	6.26	21.73	74.70	0.93	52.88
287	97.09	5.73	20.93	73.68	0.33	52.23
288	95.84	5.20	20.10	72.75	-0.26	51.57
289	94.62	4.68	19.27	71.70	-0.86	50.77
290	93.38	4.16	18.40	70.75	-1.44	49.96
291	92.12	3.65	17.52	69.68	-2.02	49.02
292	90.91	3.15	16.63	68.75	-2.59	48.08
293	89.72	2.66	15.72	67.68	-3.13	47.02
294	88.47	2.19	14.77	66.72	-3.67	45.96
295	87.36	1.72	13.85	65.72	-4.19	44.80
296	86.18	1.28	12.90	64.77	-4.68	43.62
297	85.07	0.86	11.93	63.70	-5.15	42.38
298	83.94	0.46	10.97	62.71	-5.60	41.09
299	82.92	0.07	10.01	61.71	-6.03	39.78
300	81.88	-0.28	9.04	60.68	-6.43	38.43
301	80.87	-0.61	8.08	59.67	-6.79	37.05
302	79.95	-0.92	7.14	58.88	-7.14	35.69
303	79.00	-1.19	6.19	57.95	-7.45	34.32
304	78.15	-1.44	5.29	57.12	-7.73	32.94
305	77.27	-1.64	4.37	56.37	-7.99	31.60
306	76.46	-1.82	3.51	55.57	-8.22	30.24
307	75.61	-1.95	2.64	54.84	-8.42	28.91
308	74.87	-2.06	1.84	54.14	-8.60	27.64
309	74.08	-2.13	1.07	53.33	-8.74	26.34
310	73.29	-2.16	0.33	52.67	-8.88	25.12
311	72.56	-2.17	-0.34	51.95	-8.97	23.90
312	71.74	-2.12	-1.01	51.24	-9.05	22.75
313	71.03	-2.07	-1.58	50.54	-9.10	21.61
314	70.25	-1.98	-2.14	49.86	-9.14	20.54
315	69.44	-1.87	-2.65	49.16	-9.16	19.51
316	68.68	-1.74	-3.09	48.52	-9.16	18.55
317	67.88	-1.58	-3.52	47.85	-9.15	17.63
318	67.08	-1.40	-3.91	47.19	-9.12	16.74
319	66.34	-1.22	-4.24	46.56	-9.09	15.94
320	65.49	-1.00	-4.56	45.86	-9.02	15.14
321	64.72	-0.78	-4.82	45.24	-8.96	14.40
322	63.87	-0.54	-5.06	44.61	-8.89	13.71
323	63.01	-0.27	-5.28	43.94	-8.80	13.03
324	62.23	-0.02	-5.43	43.30	-8.71	12.42
325	61.28	0.27	-5.59	42.60	-8.60	11.81
326	60.42	0.55	-5.69	41.95	-8.48	11.25
327	59.50	0.84	-5.77	41.21	-8.35	10.70
328	58.52	1.14	-5.83	40.49	-8.21	10.19
329	57.60	1.43	-5.85	39.78	-8.07	9.69
330	56.61	1.73	-5.86	38.98	-7.89	9.20
331	55.59	2.03	-5.84	38.18	-7.72	8.73
332	54.61	2.31	-5.79	37.31	-7.52	8.27
333	53.53	2.59	-5.72	36.46	-7.31	7.83
334	52.52	2.85	-5.63	35.54	-7.09	7.40
335	51.38	3.10	-5.52	34.58	-6.86	7.00
336	50.31	3.31	-5.37	33.55	-6.61	6.60
337	49.12	3.51	-5.21	32.50	-6.35	6.21
338	47.92	3.67	-5.02	31.44	-6.08	5.83
