	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 3.c3d
	R_Knee_Angle	R_Knee_Angle	R_Knee_Angle	R_Hip_Angle	R_Ankle_Angle	R_Knee_Angle	R_Knee_Angle	R_Knee_Angle	R_Hip_Angle	R_Ankle_Angle	R_Knee_Angle	R_Knee_Angle	R_Knee_Angle	R_Hip_Angle	R_Ankle_Angle
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	Y	X	X	Y	Z	Y	X	X	Y	Z	Y	X
64	32.15	-3.60	-1.04	3.10	78.64	43.92	-3.40	0.29	7.66	83.77	46.10	-3.42	1.06	8.43	83.10
65	32.52	-3.67	-1.04	3.17	78.77	44.23	-3.42	0.31	7.90	83.93	46.29	-3.43	1.06	8.59	83.17
66	32.89	-3.75	-1.04	3.26	78.91	44.54	-3.45	0.33	8.14	84.09	46.48	-3.44	1.07	8.75	83.23
67	33.25	-3.83	-1.03	3.34	79.05	44.84	-3.47	0.35	8.36	84.25	46.67	-3.45	1.08	8.90	83.29
68	33.61	-3.90	-1.03	3.42	79.19	45.13	-3.50	0.36	8.58	84.40	46.86	-3.46	1.09	9.04	83.35
69	33.97	-3.97	-1.02	3.51	79.32	45.42	-3.51	0.38	8.79	84.55	47.04	-3.46	1.10	9.17	83.41
70	34.33	-4.04	-1.01	3.60	79.46	45.70	-3.53	0.39	8.99	84.70	47.22	-3.47	1.11	9.31	83.46
71	34.69	-4.11	-1.01	3.69	79.60	45.97	-3.54	0.40	9.18	84.84	47.40	-3.47	1.12	9.43	83.51
72	35.05	-4.18	-1.00	3.78	79.73	46.23	-3.55	0.41	9.36	84.97	47.58	-3.47	1.13	9.56	83.56
73	35.41	-4.24	-0.99	3.87	79.87	46.48	-3.55	0.41	9.52	85.10	47.75	-3.47	1.14	9.68	83.61
74	35.77	-4.30	-0.99	3.97	80.01	46.73	-3.55	0.42	9.68	85.23	47.92	-3.48	1.15	9.80	83.65
75	36.13	-4.36	-0.98	4.07	80.14	46.97	-3.54	0.42	9.82	85.35	48.09	-3.48	1.16	9.92	83.69
76	36.49	-4.42	-0.98	4.18	80.28	47.19	-3.53	0.43	9.95	85.46	48.26	-3.48	1.18	10.04	83.73
77	36.85	-4.47	-0.98	4.29	80.41	47.42	-3.52	0.43	10.07	85.57	48.42	-3.48	1.19	10.16	83.77
78	37.21	-4.52	-0.98	4.40	80.55	47.63	-3.50	0.44	10.18	85.67	48.59	-3.48	1.20	10.28	83.81
79	37.56	-4.57	-0.99	4.51	80.69	47.83	-3.48	0.45	10.28	85.77	48.75	-3.48	1.22	10.40	83.84
80	37.92	-4.62	-0.99	4.63	80.82	48.03	-3.46	0.46	10.37	85.86	48.91	-3.48	1.23	10.52	83.88
81	38.28	-4.66	-1.00	4.75	80.96	48.21	-3.43	0.47	10.44	85.94	49.07	-3.49	1.25	10.64	83.92
82	38.63	-4.69	-1.01	4.88	81.10	48.39	-3.40	0.49	10.50	86.03	49.23	-3.49	1.27	10.76	83.96
83	38.98	-4.73	-1.02	5.00	81.24	48.56	-3.37	0.51	10.56	86.10	49.39	-3.49	1.29	10.88	84.00
84	39.33	-4.75	-1.04	5.14	81.38	48.72	-3.34	0.53	10.60	86.18	49.54	-3.50	1.31	11.01	84.04
85	39.68	-4.78	-1.05	5.27	81.52	48.87	-3.31	0.56	10.64	86.25	49.70	-3.50	1.33	11.13	84.08
86	40.02	-4.80	-1.06	5.40	81.66	49.02	-3.27	0.59	10.67	86.31	49.85	-3.51	1.35	11.25	84.12
87	40.37	-4.81	-1.07	5.54	81.80	49.16	-3.23	0.63	10.69	86.38	50.01	-3.51	1.37	11.36	84.17
88	40.70	-4.83	-1.09	5.68	81.94	49.28	-3.18	0.67	10.70	86.44	50.16	-3.52	1.39	11.48	84.21
89	41.04	-4.84	-1.09	5.82	82.08	49.40	-3.14	0.71	10.71	86.49	50.32	-3.53	1.41	11.59	84.26
90	41.36	-4.85	-1.10	5.96	82.23	49.51	-3.09	0.76	10.71	86.54	50.47	-3.53	1.43	11.70	84.31
91	41.69	-4.86	-1.10	6.09	82.37	49.61	-3.04	0.82	10.71	86.59	50.62	-3.54	1.44	11.81	84.36
92	42.01	-4.87	-1.10	6.23	82.51	49.70	-2.98	0.87	10.71	86.63	50.77	-3.55	1.46	11.91	84.42
93	42.33	-4.88	-1.10	6.36	82.65	49.78	-2.92	0.93	10.70	86.67	50.92	-3.56	1.47	12.01	84.47
94	42.64	-4.89	-1.09	6.50	82.79	49.86	-2.86	0.98	10.69	86.70	51.07	-3.57	1.49	12.10	84.53
95	42.94	-4.89	-1.08	6.63	82.93	49.92	-2.80	1.04	10.68	86.73	51.22	-3.58	1.50	12.18	84.58
96	43.24	-4.90	-1.06	6.75	83.07	49.97	-2.74	1.11	10.67	86.75	51.37	-3.58	1.51	12.26	84.64
97	43.54	-4.91	-1.04	6.88	83.20	50.02	-2.67	1.17	10.65	86.77	51.51	-3.59	1.52	12.34	84.70
98	43.84	-4.92	-1.02	7.00	83.34	50.05	-2.60	1.23	10.64	86.78	51.65	-3.60	1.53	12.41	84.76
99	44.12	-4.92	-0.99	7.12	83.47	50.07	-2.53	1.30	10.63	86.79	51.79	-3.61	1.54	12.47	84.82
100	44.41	-4.93	-0.96	7.23	83.60	50.09	-2.46	1.36	10.62	86.79	51.93	-3.61	1.54	12.52	84.88
101	44.69	-4.93	-0.92	7.34	83.73	50.10	-2.39	1.43	10.61	86.78	52.07	-3.62	1.55	12.57	84.94
102	44.96	-4.94	-0.88	7.45	83.85	50.09	-2.32	1.49	10.60	86.77	52.21	-3.62	1.56	12.61	85.00
103	45.24	-4.94	-0.84	7.55	83.97	50.08	-2.25	1.56	10.59	86.75	52.34	-3.63	1.56	12.65	85.05
104	45.50	-4.93	-0.80	7.65	84.09	50.05	-2.18	1.62	10.57	86.73	52.47	-3.63	1.57	12.68	85.11
105	45.76	-4.93	-0.75	7.75	84.21	50.02	-2.11	1.68	10.56	86.70	52.60	-3.63	1.58	12.71	85.17
106	46.02	-4.91	-0.70	7.84	84.32	49.97	-2.05	1.75	10.55	86.66	52.73	-3.63	1.58	12.73	85.23
107	46.27	-4.90	-0.64	7.93	84.43	49.91	-1.98	1.81	10.53	86.62	52.85	-3.62	1.59	12.75	85.29
108	46.51	-4.88	-0.59	8.01	84.54	49.85	-1.91	1.86	10.51	86.58	52.97	-3.62	1.60	12.77	85.35
109	46.76	-4.86	-0.53	8.09	84.64	49.77	-1.85	1.92	10.49	86.52	53.10	-3.61	1.61	12.79	85.41
110	46.99	-4.83	-0.47	8.17	84.74	49.68	-1.79	1.97	10.46	86.47	53.21	-3.60	1.62	12.80	85.46
111	47.22	-4.80	-0.40	8.24	84.85	49.58	-1.73	2.02	10.43	86.40	53.33	-3.59	1.63	12.81	85.52
112	47.44	-4.77	-0.33	8.31	84.94	49.47	-1.67	2.06	10.39	86.33	53.44	-3.58	1.64	12.82	85.57
113	47.66	-4.73	-0.26	8.38	85.04	49.35	-1.61	2.10	10.35	86.25	53.55	-3.56	1.65	12.83	85.63
114	47.87	-4.68	-0.19	8.44	85.14	49.21	-1.56	2.13	10.30	86.17	53.66	-3.55	1.66	12.84	85.68
115	48.08	-4.64	-0.11	8.49	85.23	49.07	-1.50	2.15	10.25	86.08	53.77	-3.53	1.67	12.84	85.73
116	48.28	-4.59	-0.04	8.54	85.32	48.92	-1.45	2.17	10.19	85.99	53.87	-3.51	1.68	12.85	85.77
117	48.48	-4.53	0.05	8.59	85.41	48.76	-1.41	2.18	10.12	85.88	53.97	-3.49	1.69	12.86	85.82
118	48.67	-4.47	0.13	8.63	85.51	48.59	-1.36	2.19	10.05	85.77	54.06	-3.46	1.70	12.87	85.86
119	48.85	-4.41	0.22	8.67	85.59	48.40	-1.31	2.19	9.97	85.65	54.15	-3.44	1.71	12.88	85.91
120	49.04	-4.35	0.31	8.70	85.68	48.22	-1.27	2.18	9.88	85.53	54.24	-3.41	1.72	12.88	85.95
121	49.21	-4.29	0.41	8.73	85.77	48.02	-1.23	2.16	9.79	85.40	54.32	-3.38	1.72	12.89	85.99
122	49.38	-4.23	0.50	8.75	85.85	47.81	-1.19	2.14	9.68	85.25	54.40	-3.36	1.73	12.90	86.02
123	49.55	-4.16	0.61	8.77	85.94	47.60	-1.15	2.11	9.57	85.10	54.47	-3.33	1.73	12.92	86.06
124	49.72	-4.10	0.71	8.78	86.02	47.39	-1.11	2.08	9.45	84.94	54.54	-3.30	1.73	12.93	86.09
125	49.88	-4.03	0.81	8.79	86.10	47.16	-1.07	2.04	9.32	84.77	54.60	-3.27	1.73	12.94	86.12
126	50.03	-3.97	0.92	8.80	86.18	46.94	-1.04	1.99	9.18	84.60	54.66	-3.23	1.73	12.95	86.15
127	50.18	-3.90	1.03	8.79	86.26	46.71	-1.00	1.94	9.04	84.41	54.71	-3.20	1.73	12.97	86.18
128	50.33	-3.84	1.13	8.79	86.33	46.47	-0.97	1.89	8.88	84.21	54.75	-3.17	1.72	12.98	86.20
129	50.47	-3.78	1.23	8.78	86.40	46.24	-0.94	1.83	8.71	84.00	54.79	-3.13	1.71	12.99	86.23
130	50.60	-3.73	1.33	8.76	86.46	46.00	-0.91	1.77	8.53	83.79	54.82	-3.10	1.71	13.01	86.25
131	50.73	-3.67	1.43	8.75	86.53	45.77	-0.88	1.71	8.33	83.56	54.85	-3.07	1.70	13.02	86.26
132	50.85	-3.62	1.51	8.73	86.58	45.54	-0.85	1.65	8.13	83.33	54.86	-3.03	1.69	13.03	86.28
133	50.96	-3.57	1.59	8.70	86.64	45.31	-0.82	1.60	7.91	83.09	54.87	-3.00	1.67	13.04	86.29
134	51.07	-3.52	1.66	8.67	86.68	45.08	-0.79	1.54	7.69	82.84	54.87	-2.97	1.66	13.05	86.29
135	51.18	-3.47	1.73	8.64	86.73	44.86	-0.77	1.49	7.44	82.58	54.87	-2.94	1.64	13.06	86.29
136	51.27	-3.43	1.78	8.61	86.77	44.64	-0.75	1.44	7.19	82.31	54.86	-2.90	1.63	13.06	86.29
137	51.36	-3.38	1.83	8.58	86.81	44.43	-0.72	1.40	6.92	82.04	54.84	-2.87	1.61	13.06	86.28
138	51.45	-3.34	1.86	8.54	86.84	44.23	-0.70	1.36	6.65	81.76	54.81	-2.84	1.59	13.05	86.27
139	51.53	-3.30	1.89	8.51	86.87	44.03	-0.67	1.33	6.36	81.47	54.77	-2.81	1.57	13.04	86.25
