	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\PCTL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\PCTL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\PCTL 2.c3d
	FP3	FP3	FP3
	COFP	COFP	COFP
	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z
580	0.4324	0.3215	0.0118
581	0.4334	0.3216	0.0118
582	0.4337	0.3222	0.0118
583	0.4339	0.3220	0.0118
584	0.4346	0.3225	0.0118
585	0.4346	0.3228	0.0118
586	0.4344	0.3234	0.0118
587	0.4354	0.3243	0.0118
588	0.4351	0.3242	0.0118
589	0.4352	0.3242	0.0118
590	0.4363	0.3244	0.0118
591	0.4363	0.3245	0.0118
592	0.4367	0.3249	0.0118
593	0.4369	0.3251	0.0118
594	0.4371	0.3253	0.0118
595	0.4372	0.3259	0.0118
596	0.4376	0.3261	0.0118
597	0.4379	0.3258	0.0118
598	0.4385	0.3264	0.0118
599	0.4386	0.3265	0.0118
600	0.4383	0.3265	0.0118
601	0.4393	0.3270	0.0118
602	0.4393	0.3274	0.0118
603	0.4397	0.3270	0.0118
604	0.4396	0.3273	0.0118
605	0.4396	0.3277	0.0118
606	0.4401	0.3274	0.0118
607	0.4396	0.3275	0.0118
608	0.4402	0.3279	0.0118
609	0.4403	0.3279	0.0118
610	0.4403	0.3278	0.0118
611	0.4403	0.3280	0.0118
612	0.4413	0.3276	0.0118
613	0.4412	0.3285	0.0118
614	0.4415	0.3281	0.0118
615	0.4414	0.3281	0.0118
616	0.4417	0.3282	0.0118
617	0.4422	0.3282	0.0118
618	0.4421	0.3283	0.0118
619	0.4422	0.3285	0.0118
620	0.4423	0.3283	0.0118
621	0.4419	0.3286	0.0118
622	0.4426	0.3282	0.0118
623	0.4428	0.3286	0.0118
624	0.4430	0.3283	0.0118
625	0.4432	0.3287	0.0118
626	0.4428	0.3285	0.0118
627	0.4430	0.3285	0.0118
628	0.4433	0.3286	0.0118
629	0.4438	0.3288	0.0118
630	0.4435	0.3282	0.0118
631	0.4444	0.3286	0.0118
632	0.4435	0.3280	0.0118
633	0.4435	0.3282	0.0118
634	0.4442	0.3290	0.0118
635	0.4440	0.3281	0.0118
636	0.4449	0.3284	0.0118
637	0.4440	0.3283	0.0118
638	0.4444	0.3280	0.0118
639	0.4447	0.3286	0.0118
640	0.4447	0.3281	0.0118
641	0.4449	0.3282	0.0118
642	0.4453	0.3281	0.0118
643	0.4453	0.3276	0.0118
644	0.4450	0.3282	0.0118
645	0.4452	0.3281	0.0118
646	0.4460	0.3276	0.0118
647	0.4453	0.3279	0.0118
648	0.4460	0.3278	0.0118
649	0.4457	0.3280	0.0118
650	0.4467	0.3277	0.0118
651	0.4461	0.3277	0.0118
652	0.4464	0.3279	0.0118
653	0.4463	0.3277	0.0118
654	0.4462	0.3276	0.0118
655	0.4471	0.3279	0.0118
656	0.4473	0.3281	0.0118
657	0.4469	0.3278	0.0118
658	0.4473	0.3273	0.0118
659	0.4472	0.3280	0.0118
660	0.4478	0.3283	0.0118
661	0.4476	0.3281	0.0118
662	0.4483	0.3280	0.0118
663	0.4487	0.3279	0.0118
664	0.4484	0.3284	0.0118
665	0.4484	0.3283	0.0118
666	0.4485	0.3281	0.0118
667	0.4492	0.3284	0.0118
668	0.4492	0.3282	0.0118
669	0.4498	0.3281	0.0118
670	0.4503	0.3283	0.0118
671	0.4501	0.3282	0.0118
672	0.4500	0.3286	0.0118
673	0.4504	0.3281	0.0118
674	0.4507	0.3284	0.0118
675	0.4502	0.3284	0.0118
676	0.4513	0.3284	0.0118
677	0.4510	0.3282	0.0118
678	0.4509	0.3287	0.0118
679	0.4515	0.3287	0.0118
680	0.4514	0.3286	0.0118
681	0.4519	0.3284	0.0118
682	0.4519	0.3289	0.0118
683	0.4522	0.3284	0.0118
684	0.4523	0.3285	0.0118
685	0.4529	0.3290	0.0118
686	0.4526	0.3290	0.0118
687	0.4529	0.3288	0.0118
688	0.4532	0.3288	0.0118
689	0.4534	0.3288	0.0118
690	0.4539	0.3290	0.0118
691	0.4540	0.3287	0.0118
692	0.4544	0.3288	0.0118
693	0.4539	0.3287	0.0118
694	0.4545	0.3288	0.0118
695	0.4543	0.3286	0.0118
696	0.4549	0.3286	0.0118
697	0.4551	0.3282	0.0118
698	0.4555	0.3289	0.0118
699	0.4556	0.3287	0.0118
700	0.4558	0.3283	0.0118
701	0.4558	0.3288	0.0118
702	0.4561	0.3285	0.0118
703	0.4566	0.3285	0.0118
704	0.4566	0.3288	0.0118
705	0.4564	0.3284	0.0118
706	0.4571	0.3282	0.0118
707	0.4573	0.3288	0.0118
708	0.4573	0.3286	0.0118
709	0.4583	0.3289	0.0118
710	0.4581	0.3287	0.0118
711	0.4586	0.3285	0.0118
712	0.4592	0.3284	0.0118
713	0.4592	0.3283	0.0118
714	0.4598	0.3284	0.0118
715	0.4601	0.3285	0.0118
716	0.4597	0.3283	0.0118
717	0.4601	0.3286	0.0118
718	0.4604	0.3282	0.0118
719	0.4608	0.3281	0.0118
720	0.4609	0.3287	0.0119
721	0.4606	0.3277	0.0118
722	0.4619	0.3279	0.0119
723	0.4617	0.3283	0.0119
724	0.4619	0.3283	0.0119
725	0.4621	0.3284	0.0119
726	0.4623	0.3283	0.0119
727	0.4623	0.3284	0.0119
728	0.4628	0.3283	0.0119
729	0.4631	0.3284	0.0119
730	0.4630	0.3286	0.0119
731	0.4636	0.3283	0.0119
732	0.4634	0.3283	0.0119
733	0.4638	0.3281	0.0119
734	0.4646	0.3287	0.0119
735	0.4643	0.3285	0.0119
736	0.4647	0.3282	0.0119
737	0.4649	0.3289	0.0119
738	0.4654	0.3286	0.0119
739	0.4654	0.3286	0.0119
740	0.4655	0.3283	0.0119
741	0.4662	0.3290	0.0119
742	0.4660	0.3286	0.0119
743	0.4662	0.3289	0.0119
744	0.4661	0.3291	0.0119
745	0.4662	0.3284	0.0119
746	0.4667	0.3288	0.0119
747	0.4669	0.3289	0.0119
748	0.4669	0.3291	0.0119
749	0.4669	0.3291	0.0119
750	0.4677	0.3291	0.0119
751	0.4675	0.3293	0.0119
752	0.4677	0.3293	0.0119
753	0.4679	0.3289	0.0119
754	0.4681	0.3297	0.0119
755	0.4682	0.3293	0.0119
756	0.4686	0.3296	0.0119
757	0.4682	0.3300	0.0119
758	0.4691	0.3296	0.0119
759	0.4689	0.3298	0.0119
760	0.4688	0.3297	0.0119
761	0.4690	0.3300	0.0119
762	0.4687	0.3298	0.0119
763	0.4693	0.3302	0.0119
764	0.4690	0.3302	0.0119
765	0.4692	0.3299	0.0119
766	0.4695	0.3299	0.0119
767	0.4693	0.3307	0.0119
768	0.4694	0.3304	0.0119
769	0.4689	0.3306	0.0119
770	0.4692	0.3306	0.0119
771	0.4691	0.3306	0.0119
772	0.4691	0.3309	0.0119
773	0.4695	0.3306	0.0119
774	0.4697	0.3312	0.0119
775	0.4694	0.3312	0.0119
776	0.4694	0.3308	0.0119
777	0.4691	0.3313	0.0119
