	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 4.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 4.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 4.c3d
	L_Knee_Moment	L_Knee_Moment	L_Knee_Moment	L_Knee_Moment	L_Knee_Moment	L_Knee_Moment	L_Knee_Moment	L_Knee_Moment	L_Knee_Moment
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z
216	122.00	57.83	-20.79	165.56	36.88	-12.41	104.62	29.43	-23.91
217	123.62	57.86	-19.89	162.48	35.15	-11.44	107.86	31.09	-23.87
218	125.00	57.63	-18.91	158.77	33.50	-10.53	111.07	32.67	-23.77
219	126.07	57.15	-17.88	154.41	31.92	-9.64	114.21	34.13	-23.60
220	126.82	56.43	-16.77	149.40	30.46	-8.81	117.27	35.46	-23.35
221	127.18	55.48	-15.61	143.77	29.10	-8.01	120.26	36.64	-23.04
222	127.12	54.30	-14.37	137.51	27.85	-7.26	123.12	37.67	-22.67
223	126.57	52.93	-13.08	130.69	26.72	-6.55	125.86	38.53	-22.22
224	125.51	51.37	-11.75	123.32	25.69	-5.88	128.43	39.22	-21.71
225	123.88	49.65	-10.37	115.48	24.72	-5.22	130.83	39.71	-21.14
226	121.65	47.78	-8.97	107.22	23.83	-4.60	133.00	40.02	-20.52
227	118.78	45.79	-7.55	98.63	22.96	-3.98	134.93	40.13	-19.83
228	115.24	43.69	-6.13	89.81	22.07	-3.38	136.56	40.05	-19.10
229	111.02	41.50	-4.73	80.85	21.14	-2.80	137.88	39.78	-18.32
230	106.12	39.23	-3.35	71.86	20.12	-2.22	138.84	39.32	-17.48
231	100.53	36.91	-2.00	62.96	18.98	-1.67	139.41	38.70	-16.62
232	94.30	34.54	-0.71	54.25	17.70	-1.15	139.57	37.90	-15.71
233	87.45	32.12	0.51	45.87	16.25	-0.66	139.26	36.96	-14.77
234	80.04	29.67	1.66	37.87	14.65	-0.23	138.44	35.88	-13.81
235	72.15	27.20	2.72	30.38	12.88	0.13	137.09	34.68	-12.82
236	63.85	24.70	3.68	23.45	10.99	0.41	135.17	33.38	-11.81
237	55.23	22.19	4.52	17.16	9.02	0.59	132.65	31.98	-10.80
238	46.42	19.67	5.25	11.52	7.01	0.69	129.49	30.52	-9.78
239	37.54	17.13	5.85	6.57	5.04	0.68	125.69	29.00	-8.78
240	28.70	14.59	6.31	2.33	3.18	0.59	121.22	27.43	-7.78
241	20.06	12.07	6.63	-1.21	1.47	0.44	116.10	25.82	-6.80
242	11.74	9.56	6.81	-4.08	-0.02	0.24	110.33	24.20	-5.85
243	3.86	7.10	6.84	-3.23	3.03	0.46	103.93	22.56	-4.93
244	-3.46	4.68	6.72	-4.07	2.66	0.50	96.96	20.90	-4.05
245	-10.10	2.35	6.45	-4.78	2.33	0.50	89.45	19.25	-3.20
246	-16.03	0.11	6.04	-5.30	2.01	0.47	81.47	17.58	-2.39
247	-21.14	-2.00	5.50	-5.63	1.68	0.41	73.10	15.93	-1.63
248	-25.43	-3.97	4.84	-5.72	1.30	0.32	64.44	14.26	-0.91
249	-28.91	-5.78	4.08	-5.57	0.88	0.21	55.58	12.57	-0.24
250	-31.55	-7.39	3.25	-5.18	0.36	0.08	46.67	10.88	0.37
251	-33.41	-8.79	2.38	-4.54	-0.28	-0.08	37.79	9.16	0.92
252	-34.51	-9.95	1.49	-3.67	-1.04	-0.26	29.10	7.43	1.40
253	-34.88	-10.86	0.62	-2.58	-1.93	-0.46	20.71	5.69	1.80
254	-34.56	-11.49	-0.18	-1.31	-2.94	-0.66	12.75	3.93	2.12
255	-6.79	0.31	-0.25	0.12	-4.04	-0.86	5.32	2.19	2.33
256	-7.74	-0.12	-0.36	1.63	-5.23	-1.05	-1.47	0.45	2.45
257	-8.33	-0.44	-0.47	3.20	-6.45	-1.22	-7.58	-1.24	2.45
258	-8.49	-0.64	-0.54	4.77	-7.69	-1.37	-12.96	-2.89	2.34
259	-8.21	-0.77	-0.59	6.27	-8.91	-1.49	-17.56	-4.45	2.13
260	-7.50	-0.87	-0.61	7.71	-10.09	-1.58	-21.41	-5.91	1.81
261	-6.37	-0.97	-0.61	9.03	-11.19	-1.63	-24.51	-7.23	1.41
262	-4.88	-1.14	-0.59	10.23	-12.19	-1.65	-26.88	-8.39	0.95
263	-3.05	-1.39	-0.58	11.29	-13.09	-1.63	-28.56	-9.34	0.45
264	-0.94	-1.78	-0.57	12.22	-13.84	-1.58	-13.03	0.51	0.78
265	1.39	-2.27	-0.58	12.98	-14.44	-1.50	-14.43	-0.37	0.65
266	3.90	-2.88	-0.58	13.61	-14.88	-1.40	-15.53	-1.16	0.48
267	6.53	-3.58	-0.59	14.05	-15.16	-1.28	-16.27	-1.87	0.28
268	9.20	-4.35	-0.61	14.33	-15.27	-1.15	-16.56	-2.51	0.07
269	11.87	-5.18	-0.61	14.42	-15.22	-1.02	-16.40	-3.11	-0.14
270	14.46	-6.02	-0.61	14.32	-15.03	-0.89	-15.78	-3.74	-0.35
