	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 4.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 4.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 4.c3d
	FP3	FP3	FP3	FP3	FP3	FP3	FP3	FP3	FP3
	COFP	COFP	COFP	COFP	COFP	COFP	COFP	COFP	COFP
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z
195	0.3706	0.2528	0.0115	0.3801	0.2429	0.0115	0.3912	0.2774	0.0116
196	0.3696	0.2518	0.0115	0.3804	0.2427	0.0115	0.3918	0.2777	0.0116
197	0.3695	0.2521	0.0115	0.3806	0.2429	0.0115	0.3911	0.2772	0.0116
198	0.3699	0.2515	0.0115	0.3807	0.2424	0.0115	0.3913	0.2772	0.0116
199	0.3700	0.2513	0.0115	0.3810	0.2423	0.0115	0.3912	0.2774	0.0116
200	0.3707	0.2513	0.0115	0.3811	0.2421	0.0115	0.3915	0.2775	0.0116
201	0.3706	0.2513	0.0115	0.3814	0.2424	0.0115	0.3912	0.2776	0.0116
202	0.3703	0.2505	0.0115	0.3817	0.2420	0.0115	0.3916	0.2775	0.0116
203	0.3709	0.2506	0.0115	0.3817	0.2422	0.0115	0.3912	0.2773	0.0116
204	0.3713	0.2506	0.0115	0.3820	0.2422	0.0115	0.3916	0.2774	0.0116
205	0.3710	0.2502	0.0115	0.3822	0.2423	0.0115	0.3917	0.2776	0.0116
206	0.3712	0.2495	0.0115	0.3822	0.2419	0.0115	0.3916	0.2773	0.0116
207	0.3718	0.2501	0.0115	0.3828	0.2421	0.0115	0.3917	0.2770	0.0116
208	0.3720	0.2499	0.0115	0.3828	0.2422	0.0115	0.3917	0.2767	0.0116
209	0.3725	0.2490	0.0115	0.3831	0.2419	0.0115	0.3914	0.2771	0.0116
210	0.3721	0.2496	0.0115	0.3833	0.2417	0.0115	0.3911	0.2771	0.0116
211	0.3725	0.2495	0.0115	0.3835	0.2423	0.0115	0.3911	0.2774	0.0116
212	0.3724	0.2490	0.0115	0.3836	0.2420	0.0115	0.3915	0.2771	0.0116
213	0.3722	0.2488	0.0115	0.3837	0.2422	0.0115	0.3913	0.2766	0.0116
214	0.3724	0.2492	0.0115	0.3836	0.2423	0.0115	0.3913	0.2769	0.0116
215	0.3731	0.2491	0.0115	0.3839	0.2420	0.0115	0.3914	0.2768	0.0116
216	0.3733	0.2487	0.0115	0.3837	0.2421	0.0115	0.3917	0.2764	0.0116
217	0.3737	0.2486	0.0115	0.3840	0.2423	0.0115	0.3915	0.2766	0.0116
218	0.3733	0.2488	0.0115	0.3842	0.2424	0.0115	0.3918	0.2764	0.0116
219	0.3738	0.2487	0.0115	0.3838	0.2424	0.0115	0.3913	0.2764	0.0116
220	0.3741	0.2479	0.0115	0.3841	0.2425	0.0115	0.3914	0.2768	0.0116
221	0.3741	0.2481	0.0115	0.3841	0.2426	0.0115	0.3916	0.2765	0.0116
222	0.3748	0.2478	0.0115	0.3841	0.2428	0.0115	0.3920	0.2763	0.0116
223	0.3746	0.2478	0.0115	0.3839	0.2430	0.0115	0.3920	0.2769	0.0116
224	0.3754	0.2478	0.0115	0.3839	0.2432	0.0115	0.3923	0.2765	0.0116
225	0.3751	0.2475	0.0115	0.3842	0.2431	0.0115	0.3920	0.2762	0.0116
226	0.3757	0.2479	0.0115	0.3841	0.2435	0.0115	0.3917	0.2764	0.0116
227	0.3756	0.2478	0.0115	0.3847	0.2438	0.0115	0.3919	0.2763	0.0116
228	0.3762	0.2474	0.0115	0.3842	0.2439	0.0115	0.3921	0.2766	0.0116
229	0.3764	0.2476	0.0115	0.3845	0.2438	0.0115	0.3922	0.2764	0.0116
230	0.3766	0.2472	0.0115	0.3842	0.2439	0.0115	0.3927	0.2766	0.0116
